indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
land not cultivated or urban (hotspots),GA_2.2_37_70;IPBES_GA2.2_sup_12,IPBES,0,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),IPBES,FALSE
land not cultivated or urban (indigenous lands),GA_2.2_37_70;IPBES_GA2.2_sup_13,IPBES,0,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),IPBES,FALSE
land rainfall over mc,IPCC_8_46_393,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF_T22_CY_262,GBF,1,ecosystems,Knowledge systems,State of ecosystems,ILK,GBF,TRUE
land under cereal production (ha),GA_1_52_19,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
land use change,GA_2_83_42;GEO_6_8_49,IPBES;GEO,0,Direct drivers,NA,Land conversion,NA,IPBES,FALSE
land use change,GA_2_83_42;GEO_6_8_49,IPBES;GEO,0,Direct drivers,NA,Land conversion,NA,GEO,FALSE
land-use and management,IPCC_3_64_190,IPCC,0,Ecosystem services,NA,Nature contribution,NA,IPCC,FALSE
land-use change,GEO_21_10_246,GEO,0,Direct drivers,NA,Land conversion,NA,GEO,FALSE
land-use co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
land-use models for efficient farming,GEO_17_8_200,GEO,0,Human assets,NA,Specific information on human-nature relationship,NA,GEO,FALSE
land-use related non-co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
laws allowing building in vulnerable areas,GEO_17_8_200,GEO,0,Governance,NA,Nature detrimental legislation,NA,GEO,FALSE
laws preventing recycling of water,GEO_17_8_200,GEO,0,Governance,NA,Nature detrimental legislation,NA,GEO,FALSE
leaf area index (lai),GA_2.2_37_70;GA_2.2_40_79;IPCC_1_66_27;IPCC_2_79_128;IPCC_3_64_190;IPCC_3_65_191;IPCC_8_30_372;IPCC_8_65_401;IPCC_9_76_452;IPCC_10_31_483;IPBES_GA2.2_sup_14,IPBES;IPCC,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
leaf area index (lai),GA_2.2_37_70;GA_2.2_40_79;IPCC_1_66_27;IPCC_2_79_128;IPCC_3_64_190;IPCC_3_65_191;IPCC_8_30_372;IPCC_8_65_401;IPCC_9_76_452;IPCC_10_31_483;IPBES_GA2.2_sup_14,IPBES;IPCC,0,biodiversity,NA,State of biodiversity,NA,IPCC,FALSE
leaf surface area,GA_2.3_56_155,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
"less biomass, more annuals and shrubs on pastures",GA_2.2_65_113,IPBES,0,ecosystems,NA,Change in ecosystems,NA,IPBES,FALSE
level of erosion,GBF_GB_CY_71,GBF,1,ecosystems,Direct drivers,State of ecosystems,Natural drivers,GBF,TRUE
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",SDG_G8.8.2_110;IPBES_SUA_sup_8.8.2_54,SDG;IPBES,1,Human well-being,NA,Equity,NA,SDG,TRUE
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",SDG_G8.8.2_110;IPBES_SUA_sup_8.8.2_54,SDG;IPBES,1,Human well-being,NA,Equity,NA,IPBES,FALSE
level of water stress,GBF_T11_C_53;GEO_16_18_193,GBF;GEO,1,ecosystems,Human well-being,State of ecosystems,Healthy living conditions,GBF,TRUE
level of water stress,GBF_T11_C_53;GEO_16_18_193,GBF;GEO,1,ecosystems,Human well-being,State of ecosystems,Healthy living conditions,GEO,FALSE
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_GB_CY_66;SDG_G6.4.2_88;GEO_16_18_192;IPBES_SUA_sup_6.4.2_33,GBF;SDG;IPBES;GEO,1,ecosystems,biodiversity,Change in ecosystems,NA,GBF,TRUE
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_GB_CY_66;SDG_G6.4.2_88;GEO_16_18_192;IPBES_SUA_sup_6.4.2_33,GBF;SDG;IPBES;GEO,1,ecosystems,biodiversity,Change in ecosystems,NA,SDG,TRUE
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_GB_CY_66;SDG_G6.4.2_88;GEO_16_18_192;IPBES_SUA_sup_6.4.2_33,GBF;SDG;IPBES;GEO,1,ecosystems,biodiversity,Change in ecosystems,NA,IPBES,FALSE
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_GB_CY_66;SDG_G6.4.2_88;GEO_16_18_192;IPBES_SUA_sup_6.4.2_33,GBF;SDG;IPBES;GEO,1,ecosystems,biodiversity,Change in ecosystems,NA,GEO,FALSE
levels of education,GEO_22_21_257,GEO,0,Human assets,NA,Coverage of basic needs,NA,GEO,FALSE
levels of engagement in world migratory bird day and similar events,CMS_G1.1_1,CMS,1,Knowledge systems,NA,Specific information on human-nature relationship,NA,CMS,TRUE
levels of poverty in biodiversity depended communities,GBF_GB_CY_55,GBF,1,Human assets,NA,Income,State of economy,GBF,TRUE
levels of poverty in developing communities,GBF_T16_CY_219,GBF,1,Human assets,NA,Income,State of economy,GBF,TRUE
life cycle impact assessment (lcia),GBF_T16_CY_218,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA,GBF,TRUE
life expectancy,GA_2_25_31;GEO_3_5_16,IPBES;GEO,0,Human well-being,Knowledge systems,Healthy living conditions,Information on society and socio-economics,IPBES,FALSE
life expectancy,GA_2_25_31;GEO_3_5_16,IPBES;GEO,0,Human well-being,Knowledge systems,Healthy living conditions,Information on society and socio-economics,GEO,FALSE
life satisfaction,VA_3_41_70,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
lightning frequency,IPCC_12_18_602,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
linguistic diversity index,GBF_GB_CY_83;GA_2_25_33,GBF;IPBES,1,Knowledge systems,Human well-being,Specific information on ILK and IPLC,Cultural diversity,GBF,TRUE
linguistic diversity index,GBF_GB_CY_83;GA_2_25_33,GBF;IPBES,1,Knowledge systems,Human well-being,Specific information on ILK and IPLC,Cultural diversity,IPBES,FALSE
live coral cover,GBF_GA_CY_11;GA_2.2_37_70;GA_2.2_38_74;GA_2.2_91_124;IPBES_GA2.2_sup_17;IPBES_GA3_sup_36,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
live coral cover,GBF_GA_CY_11;GA_2.2_37_70;GA_2.2_38_74;GA_2.2_91_124;IPBES_GA2.2_sup_17;IPBES_GA3_sup_36,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
livelihood dependence,VA_3_2_52,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
livestock density of animals (chickens),IPBES_GA2.1_sup_33,IPBES,0,biodiversity,Ecosystem services,State of biodiversity,Specific monetary valuation of nature contribution,IPBES,FALSE
livestock density of cattle,IPBES_GA2.1_sup_32,IPBES,0,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution,IPBES,FALSE
livestock indigenous animals,IPBES_GA2.1_sup_31,IPBES,0,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution,IPBES,FALSE
living conditions in the arctic,VA_3_63_79,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
living planet index,GBF_GA_C_8;GBF_T4_C_25;GBF_T2_CY_129;GA_1_52_19;GA_4_144_217;GA_5_10_235;GA_5_34_243;GA_3_41_369;SUA_4_256_160;GEO_6_16_52;GEO_6_16_54;IPBES_GA2.2_sup_72;IPBES_GA3_sup_49,GBF;IPBES;GEO,1,ecosystems,NA,State of biodiversity,NA,GBF,TRUE
living planet index,GBF_GA_C_8;GBF_T4_C_25;GBF_T2_CY_129;GA_1_52_19;GA_4_144_217;GA_5_10_235;GA_5_34_243;GA_3_41_369;SUA_4_256_160;GEO_6_16_52;GEO_6_16_54;IPBES_GA2.2_sup_72;IPBES_GA3_sup_49,GBF;IPBES;GEO,1,ecosystems,NA,State of biodiversity,NA,IPBES,FALSE
living planet index,GBF_GA_C_8;GBF_T4_C_25;GBF_T2_CY_129;GA_1_52_19;GA_4_144_217;GA_5_10_235;GA_5_34_243;GA_3_41_369;SUA_4_256_160;GEO_6_16_52;GEO_6_16_54;IPBES_GA2.2_sup_72;IPBES_GA3_sup_49,GBF;IPBES;GEO,1,ecosystems,NA,State of biodiversity,NA,GEO,FALSE
living planet index (freshwater),IPBES_GA2.2_sup_70,IPBES,0,ecosystems,NA,State of biodiversity,NA,IPBES,FALSE
living planet index (marine),IPBES_GA2.2_sup_71,IPBES,0,ecosystems,NA,State of biodiversity,NA,IPBES,FALSE
living planet index (migratory fish),GEO_9_18_79,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
living planet index (migratory species),CMS_G3.8_13,CMS,1,biodiversity,NA,State of biodiversity,NA,CMS,TRUE
living planet index (terrestrial),IPBES_GA2.2_sup_73,IPBES,0,ecosystems,NA,State of biodiversity,NA,IPBES,FALSE
living planet index (used species),GBF_GB_C_11;GBF_T5_C_31;GBF_T9_C_46,GBF,1,ecosystems,Ecosystem services,State of biodiversity,Nature contribution,GBF,TRUE
local species richness,GA_2.2_37_70;GA_2.2_70_120;IAS_4_22_102,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
local species richness (biotime),IPBES_GA2.2_sup_40,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
local species richness (predicts),GBF_GA_CY_43;GA_2.2_45_85;IPBES_GA2.2_sup_41,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
local species richness (predicts),GBF_GA_CY_43;GA_2.2_45_85;IPBES_GA2.2_sup_41,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
local wind circulations,IPCC_12_18_602,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
loss of lichen diversity,SUA_4_47_115,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
loss of mass of mountain glaciers and polar ice sheets,GEO_4_13_34,GEO,0,ecosystems,NA,Change in ecosystems,NA,GEO,FALSE
loss of older ice,IPCC_2_56_85,IPCC,0,ecosystems,NA,Change in ecosystems,NA,IPCC,FALSE
loss of phylogenetic diversity,GBF_GA_CY_52;GBF_GB_CY_58,GBF,1,biodiversity,NA,Genetic diversity,NA,GBF,TRUE
low income,GEO_22_21_257,GEO,0,Human assets,NA,Income,NA,GEO,FALSE
low-elevation coastal zones,GEO_17_8_200,GEO,0,ecosystems,NA,State of ecosystems,NA,GEO,FALSE
low-flows days,IPCC_12_17_601,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
macroalgal canopy cover and composition,GBF_GA_CY_17,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
macroeconomic dashboard,SDG_G17.13.1_250,SDG,1,Human assets,NA,State of economy,NA,SDG,TRUE
macroinvertebrate-based indices,IAS_5_130_134,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,IPCC_12_20_606,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
maintenance and restoration of connectivity of natural ecosystems,GBF_T2_C_16,GBF,1,ecosystems,NA,Restoration efforts,NA,GBF,TRUE
maize price,GEO_8_26_75,GEO,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,GEO,FALSE
"malaria incidence per 1,000 population",SDG_G3.3.3_34,SDG,1,Human assets,Direct drivers,Coverage of basic needs,(Infectious) diseases,SDG,TRUE
malnutrition,GEO_3_12_24,GEO,0,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,GEO,FALSE
mammalian body mass,IPBES_GA2.2_sup_79,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
mammalian range size,GA_2.2_37_70;IPBES_GA2.2_sup_66,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
management effectiveness of areas protected specifically for migratory species,CMS_G3.10_19,CMS,1,biodiversity,Governance,Change in biodiversity,Nature-based legislation,CMS,TRUE
mangrove forest area,GA_2.2_37_70;GA_2.2_38_74;GA_2.2_70_120;VA_2_76_48;IPBES_GA2.2_sup_15;IPBES_GA3_sup_40,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA,IPBES,FALSE
manufacturing employment as a proportion of total employment,SDG_G9.2.2_120;IPBES_SUA_sup_9.2.2_62,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
manufacturing employment as a proportion of total employment,SDG_G9.2.2_120;IPBES_SUA_sup_9.2.2_62,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
manufacturing value added as a proportion of gross domestic product and per capita,SDG_G9.2.1_119;IPBES_SUA_sup_9.2.1_61,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,SDG,TRUE
manufacturing value added as a proportion of gross domestic product and per capita,SDG_G9.2.1_119;IPBES_SUA_sup_9.2.1_61,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
marine air temperature,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
marine cloudiness over mc,IPCC_8_46_393,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
marine litter,GEO_7_19_66,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
marine net primary production,GA_2.2_37_70;IPBES_GA2.2_sup_31,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
marine nutirent pollution,GEO_20_8_234,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
marine sediment cores,IPCC_2_29_60;IPCC_2_89_153,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
marine sediments,IPCC_2_57_89;IPCC_2_61_98,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
marine sediments below the ice sheet,IPCC_2_61_99,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
marine species richness,GBF_GA_CY_44,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
marine stewardship council certified catch,GBF_T5_CY_156;SUA_2_90_65,GBF;IPBES,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF,TRUE
marine stewardship council certified catch,GBF_T5_CY_156;SUA_2_90_65,GBF;IPBES,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,IPBES,FALSE
marine stewardship council certified fisheries,GA_4_152_225;GA_3_15_329;IPBES_GA3_sup_21,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,IPBES,FALSE
marine stewardship council engaged fisheries,GA_3_72_395,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,IPBES,FALSE
marine stocks,GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
marine trophic index (mti),GA_1_52_19;GA_2.2_59_101;GA_3_15_329;GA_3_55_389;IPBES_GA2.2_sup_80;IPBES_GA3_sup_22,IPBES,0,ecosystems,NA,State of ecosystems (marine),NA,IPBES,FALSE
material flow accounting,GEO_17_20_212,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
material flow analysis,GEO_17_20_212,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
material footprint per capita,GBF_T16_C_59,GBF,1,Human assets,Direct drivers,State of economy,Specific mention of over-exploitation and unsustainable use of species/ecosystems,GBF,TRUE
"material footprint, material footprint per capita, and material footprint per gross domestic product",SDG_G8.4.1_103;SDG_G12.2.1_161;IPBES_SUA_sup_8.4.1_47;IPBES_SUA_sup_12.2.1_89,SDG;IPBES,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,SDG,TRUE
"material footprint, material footprint per capita, and material footprint per gross domestic product",SDG_G8.4.1_103;SDG_G12.2.1_161;IPBES_SUA_sup_8.4.1_47;IPBES_SUA_sup_12.2.1_89,SDG;IPBES,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,IPBES,FALSE
material ncp,GA_2.2_42_82,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
material wealth,SUA_4_149_140,IPBES,0,Human assets,NA,Income,NA,IPBES,FALSE
maternal mortality ratio,SDG_G3.1.1_28,SDG,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,SDG,TRUE
maximum daytime heat index,IPCC_12_71_692,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
maximum fire weather index,IPCC_12_66_682,IPCC,0,Direct drivers,NA,Natural drivers,NA,IPCC,FALSE
maximum five-day precipitation,IPCC_sup_22,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
maximum number of consecutive days with less than 1 mm of precipitation per day,IPCC_sup_27,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,IPCC_sup_28,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
maximum one-day precipitation,IPCC_sup_21,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
maximum temperatures,IPCC_12_49_649,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
mean air temperature,IPCC_11_39_524,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
mean annual change in above-ground biomass,GA_2.2_37_70,IPBES,0,ecosystems,NA,Change in ecosystems,NA,IPBES,FALSE
mean annual precipitation,IAS_3_8_84,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
mean annual temperature,IAS_3_8_84,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
mean arctic sea ice area,IPCC_2_57_88,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
mean body length,IAS_4_22_102,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
mean body mass,SUA_2_97_80,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
mean gsat,IPCC_1_45_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
mean length of fish,GA_1_52_19;GA_2.2_70_120,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
mean polar sea ice extent,GA_3_51_381;IPBES_GA3_sup_38,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
mean species abundance (msa),GBF_GA_CY_38;GA_1_52_19;GA_2.2_37_70;GA_2.2_46_88;GA_5_34_243;IPBES_GA2.2_sup_42,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
mean species abundance (msa),GBF_GA_CY_38;GA_1_52_19;GA_2.2_37_70;GA_2.2_46_88;GA_5_34_243;IPBES_GA2.2_sup_42,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
mean species abundance (msa) (hotspots),IPBES_GA2.2_sup_43,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
mean species abundance (msa) (indigenous lands),IPBES_GA2.2_sup_44,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
measure of income,GEO_22_21_257,GEO,0,Human assets,NA,Income,NA,GEO,FALSE
measured concentrations of o in the upper stratospere,GEO_5_17_41,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
medicinal species as a fraction of total vascular plant species,GA_2.3_39_137,IPBES,0,biodiversity,Knowledge systems,State of biodiversity,ILK,IPBES,FALSE
megafaunal range size,GA_2.2_37_70;IPBES_GA2.2_sup_67,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
merchandise exports,GA_2_24_29,IPBES,0,Human assets,NA,Income,NA,IPBES,FALSE
mibid index,GA_6_122_285,IPBES,0,ecosystems,Ecosystem services,State of ecosystems (coverage),Nature contribution,IPBES,FALSE
migration net,IPBES_GA2.1_sup_26,IPBES,0,Governance,Human well-being,Legislation/governance,Cultural diversity,IPBES,FALSE
migratory birds threatened or near threatened on the red list index,GA_3_150_436,IPBES,0,biodiversity,biodiversity,State of biodiversity,Species conservation,IPBES,FALSE
millenium development goals indicators,GEO_16_15_183,GEO,0,Governance,Human well-being,Legislation/governance,Healthy living conditions,GEO,FALSE
minimum temperature,IPCC_11_44_532,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
