indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
quantitative genetic variation,,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
self-organization,,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
genuine progress indicator,,1,,,,1,genuine progress indicator,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
genuine progress indicator (gpi),,,1,,,1,genuine progress indicator,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
the genuine progress indicator (gpi),,,1,,,1,genuine progress indicator,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"undp human development dashboard, the genuine progress indicator and sustainability dashboard",,,,1,,1,genuine progress indicator,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"well-being of present and future generations.  indicators such as the genuine progress indicator (gpi), the indicator of sustainable economic welfare (isew), the sutainable development index (sdi) and inclusive wealth make progress in this direction but remain poorly incorporated in national accounts.",,,1,,,1,genuine progress indicator,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
geo bon,,1,,,,1,geo bon,nature-based legislation,legislative arrangements,governance,FALSE
"carbon stocks and annual net ghg emissions, by land-use category, split by natural and non-natural land cover",1,,,,,,ghg emissions,climate change,climate change,direct drivers,TRUE
ghg emissions (in tonnes co2 eq and tonnes per capita),,1,,,,1,ghg emissions,climate change,climate change,direct drivers,FALSE
ghg emissions change,,1,,,,1,ghg emissions,climate change,climate change,direct drivers,FALSE
gini index (income inequality measure),,1,,,,1,gini index,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
glacial mass balance,,1,,,,1,glacial mass balance,state of ecosystems,ecosystems,ecosystems,FALSE
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",1,,,,,,global citizenship education,access to education,education,wellness,FALSE
global distribution of the world bank's worldwide governance indicators,,,,1,,1,global distribution of the world bank's worldwide governance indicators,legislation/governance,legislative arrangements,governance,FALSE
global ecosystem restoration index,1,,,,,,global ecosystem restoration index,restoration efforts,ecosystems,ecosystems,FALSE
global effort in bottom-trawling,,1,,,,1,global effort in bottom-trawling,unsustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
global environmental impacts of consumption,1,,,,,,global environmental impacts of consumption,exploitation,exploitation,direct drivers,FALSE
"global funding committed towards environmental policy, laws, regulations and economic instruments",,1,,,,1,"global funding committed towards environmental policy, laws, regulations and economic instruments",nature-based legislation,legislative arrangements,governance,FALSE
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,1,,,,,,global imports of information and communication technology (ict),information on society,scientific knowledge,scientific knowledge,FALSE
global index on indigenous people well-being,,,1,,,1,global index on indigenous people well-being,information on ILK and IPLC,scientific knowledge,scientific knowledge,FALSE
global indicator framework,,,,1,,1,global indicator framework,nature-based legislation,legislative arrangements,governance,FALSE
global mammal & bird species remaining,,1,,,,1,global mammal and bird species,state of biodiveristy,biodiversity,biodiversity,FALSE
global mammal & bird species remaning,,1,,,,1,"global mammal, bird species remaning",state of biodiveristy,biodiversity,biodiversity,FALSE
global saltmarsh extent,1,,,,,,global saltmarsh extent,state of ecosystems (freshwater/coastal),ecosystems,ecosystems,FALSE
global seagrass extent (seagrass cover and composition),1,,,,,,global seagrass extent,state of ecosystems (marine),ecosystems,ecosystems,FALSE
globalization index,,1,,,,1,globalization index,national/international cooperation,legislative arrangements,governance,FALSE
globally available combined bathy/topo,,1,,,,1,globally available data bathymetry/topography,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
globally available data for waves and wind,,1,,,,1,globally available data for waves and wind,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
globally available continental shelf,,1,,,,1,globally available data oncontinental shelf,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
solability 2020 governance efficiency ranking based on good governance indicators,,,,1,,1,good governance indicators,legislation/governance,legislative arrangements,governance,FALSE
good quality of life,,1,,,,1,good quality of life,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"ipbes conceptual framework: concept of human well-being is used as an equivalent to a 'good quality of life' at individual, household or community level",,,1,,,1,good quality of life,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
good social relationships,,1,,,,1,good social relationships,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
governance and institutions,,,1,,,1,governance and institutions,legislation/governance,legislative arrangements,governance,FALSE
governance index,,,,1,,1,governance index,legislation/governance,legislative arrangements,governance,FALSE
grassland and savannah extent,1,,,,,,grassland and savannah extent,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
green and just tax reforms,,,1,,,1,green and just tax reforms,nature-based legislation,legislative arrangements,governance,FALSE
green space in cities,,1,,,,1,green space in cities,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
green status of species index,1,,,,,,green status of species,state of biodiveristy,biodiversity,biodiversity,FALSE
green status of species index (pollinators),1,,,,,,green status of species index (pollinators),nature contribution,ecosystem services,ecosystem services,FALSE
net greenhouse gases emissions,,1,,,,1,greenhouse gases emissions,climate change,climate change,direct drivers,FALSE
per capita greenhouse gases emissions,,1,,,,1,greenhouse gases emissions,climate change,climate change,direct drivers,FALSE
total greenhouse gas emissions per year,,,,1,1,1,greenhouse gases emissions,climate change,climate change,direct drivers,FALSE
gdp,,1,1,,,1,gross domestic product,state of economy,financial assets,financial assets,FALSE
gdp per capita,,1,,,,1,gross domestic product,state of economy,financial assets,financial assets,FALSE
gross domestic product,,1,1,1,,1,gross domestic product,state of economy,financial assets,financial assets,FALSE
gross domestic product (gdp),,,1,,,1,gross domestic product,state of economy,financial assets,financial assets,FALSE
gross domestic product across regions,,,1,,,1,gross domestic product,state of economy,financial assets,financial assets,FALSE
gross domestic product per capita,,,,1,,1,gross domestic product,state of economy,financial assets,financial assets,FALSE
gross ecosystem product,,,1,,,1,gross ecosystem product (gep),monetary nature contribution,ecosystem services,ecosystem services,FALSE
gross national happiness index,,1,1,1,,1,gross national happiness index,wellness/well-being,equity and freedom of choice and action,wellness,FALSE
gross value added (gva),,1,,,,1,gross value added (gva),monetary nature contribution,ecosystem services,ecosystem services,FALSE
growth in marine species occurrence records accessible through obis,1,,,,,,growth in marine species occurrence records accessible through obis,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
growth in number of records and species in the living planet index database,1,,,,,,growth in number of records and species in the living planet index database,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
growth in population and consumption,,1,,,,1,growth in population and consumption,information on society,scientific knowledge,scientific knowledge,FALSE
