indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ga,sua,va,ias,geo,ipcc,ipbes,var,ILK_indicators,indicator,Categories,Categories_2,Subcategories,Subcategories_2
red list index of species survival for migratory bird species,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
red list index of species survival for cms-listed bird and mammal species,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the recognition of combating wildlife crime as a high priority for national law enforcement agencies.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the recognition of wildlife crime involving organized criminal groups as serious crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the existence of a national enforcement strategy and/or action plan for wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent of international cooperation to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the level of staff resources in national law enforcement agencies to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
participation in multi-disciplinary enforcement operations targeting wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime.",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens.",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number (and type) of seizures of specimens of illicitly-traded wildlife.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the capacity of national law enforcement agencies to investigate wildlife crime cases.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent of national procedures and systems to collate information on wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which information on wildlife crime is verified and analyzed to generate intelligence.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which criminal intelligence is used to support investigations into wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which follow-up investigations are conducted for wildlife crime cases.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife.",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the category in which cites implementation legislation has been placed under the cites national legislation project.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the percentage of wildlife crime cases that were prosecuted in court.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the percentage of wildlife crime cases that were resolved with administrative penalties.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the capacity of prosecutors to manage wildlife crime cases.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the existence of national guidelines for the prosecution of wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the percentage of wildlife crime cases that were brought to trial which resulted in convictions.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the existence of national guidelines for the sentencing of offenders convicted with wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the use of asset forfeiture and recovery legislation in wildlife crime cases.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which the drivers of wildlife crime in the country are known and understood.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which activities to address the demand of illicit wildlife products are implemented.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which local communities are engaged in law enforcement activities to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime.,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the overall conservation status of wetlands,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
status and trends in wetland ecosystem extent,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in conservation status - qualitative assessment,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the status of the ecological character of ramsar sites,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in the status of ramsar site ecological character - qualitative assessment,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in water quality,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in dissolved nitrate (or nitrogen) concentration,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in biological oxygen demand (bod),NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the frequency of threats affecting ramsar sites,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the frequency of threats affecting ramsar sites - qualitative assessment,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
wetland sites with successfully implemented conservation or wise use management plans,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
overall population trends of wetland taxa,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in the status of waterbird biogeographic populations,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
changes in threat status of wetland taxa,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in the status of globally-threatened wetland-dependent birds,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in the status of globally-threatened wetland-dependent amphibians,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the proportion of candidate ramsar sites designated so far for wetland types/features,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
coverage of the wetland resource by designated ramsar sites,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in land cover,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in land productivity,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"trends in carbon stocks (above and below ground), which is currently represented by soil organic carbon (soc) stocks",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,1,Human assets,NA,State of economy,NA
globalization index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,Human assets,NA,Information on society and socio-economics,NA
poverty gap,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,Human assets,Coverage of basic needs,Income
food security index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
depth of the food deficit (kcal/capit a/day) (3- year average),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
access to improved sanitation facilities,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
domestic material consumption,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,Human assets,NA,State of economy,NA
per capita calorie intake,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
prevalence of obesity in the adult population (18 years and older),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
energy use (kg of oil equivalent per capita),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
mobile cellular subscriptions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
fossil-fuel energy consumption (% of total),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
renewable electricity consumption (% of total electricity output),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
electric power consumption (kwh per capita),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
access to electricity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Coverage of basic needs,NA
alternative and nuclear energy (% of total energy use),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems
protein intake per country per person,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
"energy supply derived from cereals, roots and tubers",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
people per ouletlet mcdonals,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Infrastructure (build-up area),NA
population growth (annual %),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,Change in biodiversity,NA
population density,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
child mortality rate,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human well-being,Human assets,Healthy living conditions,Information on society and socio-economics
urban population,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
total international migrant stock,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Information on society and socio-economics,NA
refugee population,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
migration net,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,Human well-being,Legislation/governance,Cultural diversity
population in the largest city,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
population in megacities,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
agricultural land,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,Direct drivers,Ecosystem services,Land conversion,Nature contribution
livestock indigenous animals,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution
