indicators_harmonized,ga,sua,va,geo,ipcc,km_gbf,sdg,ipbes,var,indic,ILK_indicators
invertebrate abundance and biomass,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
enhanced vegetation index,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
land cover change,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
deforestation rate,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
coral bleaching,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
global atmospheric co levels,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
marine litter,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
floating plastic litter density,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
build up area,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
build up area per capita,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
fertilizer price,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
maize price,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
wetland area index,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
living planet index (migratory fish),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
water infrastructure,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"drinking water supply, treatment and distribution",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"provision of safe, reliable drinking water",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
us national ambient air quality standards,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
population-weighted annual mean concentration of pm2.5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
emissions of ozone-depleting substances,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
pm2.5 emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
so2 emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
no emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
nh3 emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
global warming potential index,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
global temperature potential,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
global capacity,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
presense of endemic species,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
biocapacity,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
willingness-to-participate,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
beach litter,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
nutrient pollution,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
regional seas and action plans,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
floating debris density,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
stranded debris,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
number of vulnerable marine ecosystems,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
stock status,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
proportion of terrestrial protected area as a share of the total land area,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
soil carbon sequestration,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
resources per capita invested in human settlement per km2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
ratio of land consumption rate to urban population growth rate at comparable scale,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
freshwater withdrawal as a proportion of available freshwater resources,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
millenium development goals indicators,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
improved/unimproved sources of drinking water,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
proportion of the global population using piped water supplies on premises,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
number of people without access to safe sanitation services,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
improved water supply and sanitation,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
freshwater change over time,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
gender equality,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
empowerment of women and girls,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
reduction of inequality within and among countries,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
quantity of land area known to have (in)sufficient infrastructure against flooding,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
number of residents living in floodplains,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
low-elevation coastal zones,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
network of communication channels in times of crisis or disaster,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
drought-resistant vegetation,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
water- saving devices,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
buffer zones to protect catchment areas,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
amend policies that lead to destruction of mangroves,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
laws preventing recycling of water,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
laws allowing building in vulnerable areas,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
land-use models for efficient farming,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
sustainable fishing practices,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
community awareness,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
ghg emissions from agriculture,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
agricultural emissions from different farming sectors,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
sustainability and nutrient efficiency of national dietary outcomes,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
dietary health and sustainability,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
recommended intake values for the food groups,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
energy production,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
energy consumption,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
achievement of a circular economic system,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
sustainable resource management,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
societal behaviour,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
business operations,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
material flow accounting,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
material flow analysis,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
pm 2.5 emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
o3 emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
volatile organic compounds emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
pm 10 emissions,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
mortality rate attributable to household and ambient air pollution,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
deaths due to unsafe water,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
sanitation and hygiene,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
mortality from unintentional poisoning,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
total gobal population living in water scarce areas,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
marine nutirent pollution,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
nutrient runoff into oceans (n and p),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
trends in soil organic carbon stock,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
number of people living on less than 1.90 usd per day,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
land-use change,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"changes in terrestrial, marine and freshwater vertebrate populations",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
species dispersal ability,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
projections of global fisheries under an unchanged climate and current management scenario,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
body mass index,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
blood pressure,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
smoking,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
childhood undernutrition,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
alcohol use,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
beef consumption,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
energy-intensity,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
share of low-carbon options,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
measure of income,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
health,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
levels of education,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
low income,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
women and girl’s education,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
inclusive and equitable quality education,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
fertility rates,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
democracy,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
universal female education,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
piped drinking water,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
advanced malaria control,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
complete phase-out of biomass use for cooking,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
food waste,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
yield (improvement),NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
agro-biodiversity,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
forest and land management,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
wastewater treatment,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
chemical contaminants,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
