indicators_harmonized,ids,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_orig
the percentage of wildlife crime cases that were prosecuted in court,ICCWC_6_35,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The percentage of wildlife crime cases that were prosecuted in court.
the percentage of wildlife crime cases that were resolved with administrative penalties,ICCWC_6_36,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The percentage of wildlife crime cases that were resolved with administrative penalties.
the capacity of prosecutors to manage wildlife crime cases,ICCWC_6_37,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The capacity of prosecutors to manage wildlife crime cases.
the existence of national guidelines for the prosecution of wildlife crime,ICCWC_6_38,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The existence of national guidelines for the prosecution of wildlife crime.
the percentage of wildlife crime cases that were brought to trial which resulted in convictions,ICCWC_6_39,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The percentage of wildlife crime cases that were brought to trial which resulted in convictions.
the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime,ICCWC_7_40,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime.
the existence of national guidelines for the sentencing of offenders convicted with wildlife crime,ICCWC_7_41,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The existence of national guidelines for the sentencing of offenders convicted with wildlife crime.
the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down,ICCWC_7_42,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down.
the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime,ICCWC_7_43,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime.
the use of asset forfeiture and recovery legislation in wildlife crime cases,ICCWC_7_44,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The use of asset forfeiture and recovery legislation in wildlife crime cases.
the extent to which the drivers of wildlife crime in the country are known and understood,ICCWC_8_45,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which the drivers of wildlife crime in the country are known and understood.
the extent to which activities to address the demand of illicit wildlife products are implemented,ICCWC_8_46,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which activities to address the demand of illicit wildlife products are implemented.
the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife,ICCWC_8_47,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife.
the extent to which local communities are engaged in law enforcement activities to combat wildlife crime,ICCWC_8_48,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which local communities are engaged in law enforcement activities to combat wildlife crime.
the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime,ICCWC_8_49,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime.
the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime,ICCWC_8_50,ICCWC,NA,Governance,Nature-Based Legislation,NA,NA,The extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime.
the overall conservation status of wetlands,RAMSAR_A_1,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,The overall conservation status of wetlands
status and trends in wetland ecosystem extent,RAMSAR_Ai_2,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,Status and trends in wetland ecosystem extent
trends in conservation status - qualitative assessment,RAMSAR_Aii_3,RAMSAR,NA,Ecosystems,Area Conservation,NA,NA,Trends in conservation status – qualitative assessment
the status of the ecological character of ramsar sites,RAMSAR_B_4,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,The status of the ecological character of Ramsar Sites
trends in the status of ramsar site ecological character - qualitative assessment,RAMSAR_Bi_5,RAMSAR,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,Trends in the status of Ramsar Site ecological character – qualitative assessment
trends in water quality,RAMSAR_C_6,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,Trends in water quality
trends in dissolved nitrate (or nitrogen) concentration,RAMSAR_Ci_7,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,Trends in dissolved nitrate (or nitrogen) concentration
trends in biological oxygen demand (bod),RAMSAR_Cii_8,RAMSAR,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,Trends in Biological Oxygen Demand (BOD)
