indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the percentage of wildlife crime cases that were prosecuted in court,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the percentage of wildlife crime cases that were resolved with administrative penalties,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the capacity of prosecutors to manage wildlife crime cases,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the existence of national guidelines for the prosecution of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the percentage of wildlife crime cases that were brought to trial which resulted in convictions,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the existence of national guidelines for the sentencing of offenders convicted with wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the use of asset forfeiture and recovery legislation in wildlife crime cases,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent to which the drivers of wildlife crime in the country are known and understood,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent to which activities to address the demand of illicit wildlife products are implemented,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent to which local communities are engaged in law enforcement activities to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime,1,0,ICCWC,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
the overall conservation status of wetlands,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
status and trends in wetland ecosystem extent,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
trends in conservation status - qualitative assessment,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
the status of the ecological character of ramsar sites,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
trends in the status of ramsar site ecological character - qualitative assessment,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
trends in water quality,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
trends in dissolved nitrate (or nitrogen) concentration,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
trends in biological oxygen demand (bod),1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
the frequency of threats affecting ramsar sites,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
the frequency of threats affecting ramsar sites - qualitative assessment,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
wetland sites with successfully implemented conservation or wise use management plans,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
overall population trends of wetland taxa,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
trends in the status of waterbird biogeographic populations,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
changes in threat status of wetland taxa,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
trends in the status of globally-threatened wetland-dependent birds,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
trends in the status of globally-threatened wetland-dependent amphibians,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
the proportion of candidate ramsar sites designated so far for wetland types/features,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
coverage of the wetland resource by designated ramsar sites,1,0,RAMSAR,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
trends in land cover,1,0,UNCCD,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Biodiversity,NA
trends in land productivity,1,0,UNCCD,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Biodiversity,NA
monthly maximum value of daily maximum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
monthly minimum value of daily maximum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
monthly minimum value of daily minimum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
monthly maximum value of daily minimum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
percentage of days when daily maximum temperature is greater than the 90th percentile,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
percentage of days when daily maximum temperature is less than the 10th percentile,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
percentage of days when daily minimum temperature is greater than the 90th percentile,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
percentage of days when daily minimum temperature is less than the 10th percentile,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
warm spell duration index (wsdi),NA,1,IPCC,NA,1,0,1,0,1,1,NA,Direct Drivers,Ecosystems,Climate Change,Abiotic Conditions
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,NA,1,IPCC,NA,1,0,1,0,1,1,NA,Direct Drivers,Ecosystems,Climate Change,Abiotic Conditions
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
daily temperature range: monthly mean difference between tx and tn,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Direct Drivers,NA,Climate Change,NA
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
one-in-20 year return value of monthly maximum value of daily maximum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
one-in-20 year return value of monthly minimum value of daily maximum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
one-in-20 year return value of monthly minimum value of daily minimum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
one-in-20 year return value of monthly maximum value of daily minimum temperature,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
maximum one-day precipitation,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
maximum five-day precipitation,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
annual count of days when precipitation is greater than or equal to 5 mm,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
annual count of days when precipitation is greater than or equal to 10 mm,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
annual count of days when precipitation is greater than or equal to 20 mm,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
annual count of days when precipitation is greater than or equal to 50 mm,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
maximum number of consecutive days with less than 1 mm of precipitation per day,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
simple precipitation intensity index,NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
one-in-20 year return value of maximum one-day precipitation,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
one-in-20 year return value of maximum five-day precipitation,NA,1,IPCC,NA,1,0,1,0,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized precipitation index,NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
"potential evaporation, evaporative demand drought index",NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
soil moisture anomalies,NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized soil moisture index,NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized runoff index,NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized streamflow index,NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
palmer drought severity index (pdsi),NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized precipitation evapotranspiration index (spei),NA,1,IPCC,NA,1,0,1,0,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA
gross domestic product,NA,1,"GA,SUA,VA,IAS",1,4,0,4,4,1,1,NA,Human Assets,NA,State Of Economy,NA
globalization index,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,NA,Information On Society And Socio-Economics,NA
poverty gap,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Assets,Coverage Of Basic Needs,Income
food security index,NA,1,GA,1,1,0,1,1,1,1,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs
